"Iteration","Mode_1 disp ","Mode_1 vel ","Mode_2 disp ","Mode_2 vel ","Mode_3 disp ","Mode_3 vel ","Mode_4 disp ","Mode_4 vel "
           0, -11431.2151352312, 0.0001000000, -534.4121787525, 0.0001000000, 195.9750159969, 0.0001000000, -68.4892526014, 0.0001000000
          10, -51327.4843095806, 0.0001000000, -8652.1648559465, 0.0001000000, 991.7822642249, 0.0001000000, -694.6291275199, 0.0001000000
