"PointID"	"x"	"y"	"z"	"Density"	"Momentum_x"	"Momentum_y"	"Momentum_z"	"Energy"	"Grid_Velocity_x"	"Grid_Velocity_y"	"Grid_Velocity_z"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
0	9.144400000026407e-01	6.132844266660298e+00	5.615497988472443e-10	9.500729310268928e-01	1.050256135448116e+00	1.786068437933658e-02	1.840835122492056e-01	2.950331990201194e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.407314498394650e-01	9.901676167351373e-01	9.533479714934522e-01	-1.000346849860502e-01	
1	3.611732936419848e-01	6.119322360708367e+00	-2.471716428936784e-03	9.781420774862214e-01	1.048891862641011e+00	7.811532649636745e-02	1.134717406604779e-01	3.026877296332116e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.819187262703790e-01	1.003861043166514e+00	9.123086101789396e-01	-3.051794782882289e-02	
2	3.463924010884467e-01	6.118729482804300e+00	5.771939995454052e-10	9.800685364806350e-01	1.047955770365337e+00	5.905939882876071e-02	1.007727477538441e-01	3.031106137080727e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.855492500132721e-01	1.005592173739520e+00	9.067604371551088e-01	-2.439027475480676e-02	
3	4.067481043391541e-01	6.121043754989831e+00	-5.131502435428374e-03	9.747431267934717e-01	1.049981035648634e+00	9.444248482179077e-02	1.337197289583845e-01	3.018945057734880e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.758737939420880e-01	1.001159964217789e+00	9.208547590133719e-01	-4.072070965756152e-02	
4	4.859996104977384e-01	6.123663844130520e+00	-8.024446922067085e-03	9.690244322636964e-01	1.049848986522981e+00	1.100330587052058e-01	1.571254468061355e-01	3.004531969358588e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.667354178396314e-01	9.976378155721854e-01	9.319070149527307e-01	-5.614464987909912e-02	
5	6.008080973020089e-01	6.126646053218725e+00	-1.089767680200257e-02	9.618765523590984e-01	1.051098331390861e+00	1.252487842185055e-01	1.794381470086880e-01	2.986739729114205e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.550200193155615e-01	9.928717120437955e-01	9.467316691623929e-01	-7.591814185194191e-02	
6	7.477355229641357e-01	6.129098309559164e+00	-1.313592588599304e-02	9.473068245036343e-01	1.045455762954488e+00	1.335583968665646e-01	1.997274655294204e-01	2.946160170545296e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.355213112590797e-01	9.875589271187506e-01	9.630439771878917e-01	-1.088284646585882e-01	
7	9.144400000026374e-01	6.130059962648687e+00	-1.399764095425591e-02	9.423011903899821e-01	1.048292155189037e+00	1.275263364913846e-01	2.185217925961217e-01	2.933671734606808e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.266407804686729e-01	9.833806747980146e-01	9.753543285359251e-01	-1.238172082286779e-01	
8	1.081144477041138e+00	6.129098309559133e+00	-1.313592589598321e-02	9.418240326021156e-01	1.054780808181539e+00	1.060995489595773e-01	2.312760387016563e-01	2.933445545213497e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.233722227144091e-01	9.804084316719686e-01	9.833492553078089e-01	-1.293339476194823e-01	
9	1.228071902703264e+00	6.126646053218660e+00	-1.089767682079775e-02	9.334325347679119e-01	1.052026274069910e+00	8.190971404848006e-02	2.517373581780737e-01	2.909610073801709e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.116907916042426e-01	9.767077508509224e-01	9.938697556898274e-01	-1.490501086884914e-01	
10	1.342880389507533e+00	6.123663844130435e+00	-8.024446947742441e-03	9.245756435780697e-01	1.043888032251977e+00	5.614832376953880e-02	2.646265203176042e-01	2.882812089363076e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.015754765395018e-01	9.751235421370628e-01	9.982321359867690e-01	-1.661229466994637e-01	
11	1.422131895666115e+00	6.121043754989734e+00	-5.131502465853077e-03	9.218994607296086e-01	1.039489946097235e+00	2.926585597982740e-02	2.680875778045860e-01	2.873728927850597e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.992979574410012e-01	9.754837655825070e-01	9.967983049396845e-01	-1.699669905465144e-01	
12	1.467706706363284e+00	6.119322360708261e+00	-2.471716462092667e-03	9.212839608389320e-01	1.038186701798841e+00	4.011197316648563e-03	2.672175069616244e-01	2.871252918742528e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.990117674045291e-01	9.758248331881068e-01	9.955529085648922e-01	-1.704500280101790e-01	
13	1.482487598916823e+00	6.118729482804192e+00	5.431523383698022e-10	9.218037830400391e-01	1.038023007628071e+00	-2.146372857328350e-02	2.653255699259155e-01	2.872424072979763e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.998167974951560e-01	9.761478679634275e-01	9.944360273726610e-01	-1.690912815704227e-01	
14	1.467706706363284e+00	6.119322360708263e+00	2.471717549398767e-03	9.224364137953500e-01	1.038406163593653e+00	-4.729589908427349e-02	2.644121183075206e-01	2.874449747444929e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.003452466242361e-01	9.760512845755729e-01	9.947062342055295e-01	-1.681993541988994e-01	
15	1.422131895666117e+00	6.121043754989730e+00	5.131503556226137e-03	9.239152993010195e-01	1.039537963419702e+00	-7.099398944289972e-02	2.620723937469649e-01	2.879161011886461e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.017797531278849e-01	9.760415849917400e-01	9.948108999337778e-01	-1.657781644479393e-01	
16	1.342880389507535e+00	6.123663844130428e+00	8.024448043375924e-03	9.263794948348355e-01	1.041352784858682e+00	-8.765555805840758e-02	2.540874786831291e-01	2.886434419926438e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.048576262243169e-01	9.767677623149941e-01	9.927826229336181e-01	-1.605832665671130e-01	
17	1.228071902703267e+00	6.126646053218657e+00	1.089767792389312e-02	9.321522512463862e-01	1.047175907446102e+00	-9.299597510156643e-02	2.220994306209047e-01	2.902185779950315e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.131564551473977e-01	9.796215735427457e-01	9.842990015542300e-01	-1.465763314417403e-01	
18	1.081144477041144e+00	6.129098309559124e+00	1.313592700836193e-02	9.505334938186951e-01	1.064816109007527e+00	-8.850197668318613e-02	1.873000650854464e-01	2.956354114683291e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.349444243314887e-01	9.835996631485562e-01	9.725254378573134e-01	-1.098021463484190e-01	
19	9.144400000026420e-01	6.130059962648683e+00	1.399764207681239e-02	9.624493990177760e-01	1.067535205458130e+00	-6.687827174555824e-02	1.505065910294142e-01	2.988362808896348e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.528894987208638e-01	9.900671138590054e-01	9.532698247643545e-01	-7.951407858347319e-02	
