"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
0, 9.144400000000000e-01, 6.132844266666666e+00, 0.000000000000000e+00, 9.978319380174360e-01, -3.659299862550684e-03, 9.233698324400255e-01
1, 3.611732936393964e-01, 6.119322360714671e+00, -2.471717005770997e-03, 1.024065371370027e+00, 4.061803161292657e-02, 9.183289026247664e-01
2, 3.463924010858594e-01, 6.118729482810600e+00, 0.000000000000000e+00, 1.024268625465276e+00, 4.096108807938791e-02, 9.176474191399734e-01
3, 4.067481043365616e-01, 6.121043754996140e+00, -5.131503011092086e-03, 1.022306031288334e+00, 3.764858102945862e-02, 9.196573077365970e-01
4, 4.859996104951387e-01, 6.123663844136835e+00, -8.024447495641253e-03, 1.019545787644203e+00, 3.298978470868779e-02, 9.211005716914926e-01
5, 6.008080972993990e-01, 6.126646053225055e+00, -1.089767737245689e-02, 1.013847641286883e+00, 2.337233541534451e-02, 9.232118716076747e-01
6, 7.477355229615127e-01, 6.129098309565512e+00, -1.313592645230692e-02, 9.956517010869789e-01, -7.339148854005421e-03, 9.248353223201217e-01
7, 9.144400000000000e-01, 6.130059962655052e+00, -1.399764151567731e-02, 9.962645488454256e-01, -6.304771729973012e-03, 9.239506361586980e-01
8, 1.081144477038487e+00, 6.129098309565512e+00, -1.313592645230692e-02, 1.001918941154704e+00, 3.238828575992498e-03, 9.255284157003816e-01
9, 1.228071902700601e+00, 6.126646053225055e+00, -1.089767737245690e-02, 9.855392468420261e-01, -2.440715831416066e-02, 9.278032605122186e-01
10, 1.342880389504861e+00, 6.123663844136835e+00, -8.024447495641254e-03, 9.766624160292794e-01, -3.938965698541826e-02, 9.267941505228450e-01
11, 1.422131895663438e+00, 6.121043754996140e+00, -5.131503011092094e-03, 9.756813422502094e-01, -4.104553360415640e-02, 9.259731978874750e-01
12, 1.467706706360604e+00, 6.119322360714671e+00, -2.471717005770999e-03, 9.728352917307677e-01, -4.584915654407295e-02, 9.257922766580919e-01
13, 1.482487598914141e+00, 6.118729482810600e+00, -1.139460746938324e-18, 9.735819294746152e-01, -4.458896591511074e-02, 9.255438155790462e-01
14, 1.467706706360604e+00, 6.119322360714671e+00, 2.471717005770993e-03, 9.728352314916926e-01, -4.584925821682995e-02, 9.257922570642990e-01
15, 1.422131895663438e+00, 6.121043754996140e+00, 5.131503011092085e-03, 9.756812210011180e-01, -4.104573825088108e-02, 9.259731720008220e-01
16, 1.342880389504862e+00, 6.123663844136835e+00, 8.024447495641246e-03, 9.766621374458583e-01, -3.939012718427917e-02, 9.267941475182122e-01
17, 1.228071902700601e+00, 6.126646053225055e+00, 1.089767737245689e-02, 9.855388367890020e-01, -2.440785041013705e-02, 9.278032886443753e-01
18, 1.081144477038488e+00, 6.129098309565512e+00, 1.313592645230692e-02, 1.001918547414388e+00, 3.238164012942050e-03, 9.255284384536761e-01
19, 9.144400000000001e-01, 6.130059962655052e+00, 1.399764151567731e-02, 9.962646917237297e-01, -6.304530577015821e-03, 9.239506034335514e-01
20, 7.477355229615131e-01, 6.129098309565512e+00, 1.313592645230693e-02, 9.956533573557744e-01, -7.336353369270817e-03, 9.248351601086456e-01
21, 6.008080972993994e-01, 6.126646053225055e+00, 1.089767737245690e-02, 1.013849160129826e+00, 2.337489894988159e-02, 9.232117434954261e-01
22, 4.859996104951388e-01, 6.123663844136835e+00, 8.024447495641256e-03, 1.019549380072416e+00, 3.299584808333825e-02, 9.211002447769050e-01
23, 4.067481043365619e-01, 6.121043754996140e+00, 5.131503011092095e-03, 1.022307058739121e+00, 3.765031518215051e-02, 9.196571063210754e-01
24, 3.611732936393964e-01, 6.119322360714671e+00, 2.471717005771005e-03, 1.024066404536054e+00, 4.061977541191924e-02, 9.183289125237650e-01
25, 1.060450525380305e-01, 6.104003355883344e+00, -2.002402515315564e-03, 1.026162905807686e+00, 4.415829362625909e-02, 9.062216090804434e-01
26, 9.388703140214816e-02, 6.103391699343649e+00, 0.000000000000000e+00, 1.027381244932362e+00, 4.621463160336484e-02, 9.032498161545284e-01
27, 1.469638901861748e-01, 6.105937516026202e+00, -4.835424679767856e-03, 1.027918036152833e+00, 4.712063892930273e-02, 9.117358590160722e-01
28, 2.306752173593699e-01, 6.109433837061920e+00, -9.310595475523247e-03, 1.027604381966716e+00, 4.659124690574609e-02, 9.160771658953181e-01
29, 3.799487560171312e-01, 6.114470319994206e+00, -1.576482622333470e-02, 1.033352615108345e+00, 5.629323370973662e-02, 9.191041706015052e-01
30, 6.135499001555889e-01, 6.119726858896093e+00, -2.266080556410860e-02, 1.019081307007678e+00, 3.220582468214673e-02, 9.229646035095121e-01
31, 9.144399999999999e-01, 6.122130935666195e+00, -2.586426899952906e-02, 9.984066896718157e-01, -2.689222131015946e-03, 9.257734560345445e-01
32, 1.215330099844411e+00, 6.119726858896093e+00, -2.266080556410862e-02, 9.786799077751384e-01, -3.598449268306381e-02, 9.275930713481689e-01
33, 1.448931243982869e+00, 6.114470319994206e+00, -1.576482622333470e-02, 9.619275378504057e-01, -6.425948918038459e-02, 9.269937714151167e-01
34, 1.598204782640630e+00, 6.109433837061920e+00, -9.310595475523258e-03, 9.671452441667591e-01, -5.545293652653412e-02, 9.242317737619372e-01
35, 1.681916109813825e+00, 6.105937516026202e+00, -4.835424679767864e-03, 9.708629294435638e-01, -4.917815041256451e-02, 9.241586900739845e-01
36, 1.722834947461970e+00, 6.104003355883344e+00, -2.002402515315564e-03, 9.690667642747863e-01, -5.220975513977463e-02, 9.234732793142510e-01
37, 1.734992968597852e+00, 6.103391699343649e+00, -8.725648461687863e-19, 9.718067673452988e-01, -4.758512127785106e-02, 9.216996799451175e-01
