"PointID"	"x"	"y"	"z"	"Displacement_x"	"Displacement_y"	"Displacement_z"	"FORCE_x"	"FORCE_y"	"FORCE_z"
0	-1.849041952131027e-12	-7.338668015440206e-12	1.083290614013582e-07	-1.849041952131027e-12	-7.338668015440206e-12	1.083290614013582e-07	3.610786000782698e+00	-3.588922962807742e+00	-1.033456988410510e+02	
1	8.924799999794594e-02	-5.030797819957900e-12	4.504750198696839e-08	-2.054051772628423e-12	-5.030797819957900e-12	4.504750198696839e-08	-9.609113773992188e-01	9.787475960056655e-01	-9.127509391821272e+01	
2	1.784960000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-1.960937322301675e+00	1.985166053100446e+00	-1.113289064051308e+02	
3	2.677440000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-3.039433703886953e+00	3.075711624989482e+00	-1.069396368002942e+02	
4	3.569760000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-3.894926958140911e+00	3.954929504954588e+00	-9.446403802985623e+01	
5	4.368800000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-4.482883507063860e+00	4.587551282203886e+00	-7.232365803434567e+01	
6	5.354719999999999e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-4.889220753457943e+00	5.095422098884914e+00	-2.359322130103354e+01	
7	6.247200000000001e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-4.961294705018840e+00	5.278576548280911e+00	3.483496557427703e+01	
8	7.139680000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-5.012644775741403e+00	5.380359227505844e+00	8.317155917888063e+01	
9	8.032160000070432e-01	1.548705516019901e-11	-8.731878183416547e-06	7.043074177089721e-12	1.548705516019900e-11	-8.731878183416548e-06	-5.409842944433962e+00	5.690140825574403e+00	9.753043450707334e+01	
