4
120
0.85778
9.5992 0.0 0.0 0.0
38.165 0.0 0.0 0.0
50.7 0.0 0.0 0.0
98.5 0.0 0.0 0.0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-1.79847e-13 -4.89669e-13 -7.91933e-05
-1.78336e-13 -7.75308e-13 -0.000161712
1.69268e-13 1.40704e-13 9.64224e-06
1.40402e-13 6.15108e-14 5.31986e-05
1.23324e-13 4.48863e-14 0.000104281
1.05339e-13 1.34054e-14 0.000170779
1.03223e-13 -2.2821e-14 0.00025088
1.09873e-13 -6.92186e-14 0.000340048
1.30276e-13 -1.49319e-13 0.000462465
1.72291e-13 -2.59947e-13 0.000607552
2.07051e-13 -5.22918e-13 0.000813092
2.11585e-13 -8.04024e-13 0.00105339
1.70779e-13 -1.10175e-12 0.00138135
2.70527e-13 9.92939e-14 0.000294708
2.75061e-13 7.45082e-14 0.000479089
2.79595e-13 1.67757e-14 0.000698231
2.93197e-13 -6.25688e-14 0.000949111
3.15866e-13 -1.63223e-13 0.00123324
3.52138e-13 -2.88663e-13 0.00155666
4.05034e-13 -4.48863e-13 0.00191938
4.54908e-13 -6.61959e-13 0.00235766
4.77578e-13 -8.96214e-13 0.00284129
4.80601e-13 -1.14861e-12 0.00340048
4.79089e-13 -1.41006e-12 0.00405034
4.97225e-13 7.64729e-14 0.00123173
5.27452e-13 -1.2151e-14 0.00163223
5.57678e-13 -1.29974e-13 0.00208563
5.92438e-13 -2.70527e-13 0.00256925
6.36267e-13 -4.29216e-13 0.00309821
6.87652e-13 -6.18131e-13 0.00370274
7.29969e-13 -8.13092e-13 0.00432238
7.63218e-13 -1.0277e-12 0.00501759
7.85888e-13 -1.25893e-12 0.00580348
7.97978e-13 -1.50225e-12 0.00666493
8.02512e-13 -1.75313e-12 0.00760195
8.61454e-13 -7.39037e-14 0.00303776
8.94703e-13 -2.23676e-13 0.0036574
9.29463e-13 -3.94455e-13 0.0043375
9.68758e-13 -5.75814e-13 0.00506293
1.01107e-12 -7.66241e-13 0.00583371
1.05037e-12 -9.74803e-13 0.00669516
1.08211e-12 -1.17581e-12 0.00755661
1.10931e-12 -1.39495e-12 0.00850875
